,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
95,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,6,21,72,57,2017-12-25,95
96,Manhattan,Apartment,Entire home/apt,8,2,4,6,Real Bed,225,4,365,185,144,2017-12-11,95
97,Brooklyn,Apartment,Private room,2,1,1,2,Real Bed,59,2,29,365,5,2012-06-12,90
98,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,210,5,90,177,47,2017-04-28,95
99,Brooklyn,Apartment,Entire home/apt,4,1,1,4,Real Bed,125,7,1125,361,55,2017-06-07,88
100,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60,10,365,255,15,2017-08-31,87
101,Manhattan,Apartment,Entire home/apt,4,1,2,2,Real Bed,170,1,10,283,41,2017-07-24,90
102,Brooklyn,Apartment,Private room,2,1,1,2,Real Bed,69,2,27,365,21,2015-06-15,79
103,Brooklyn,Apartment,Entire home/apt,12,1,3,6,Real Bed,180,5,60,137,48,2018-02-22,80
104,Brooklyn,Apartment,Entire home/apt,6,1,3,5,Real Bed,180,5,100,135,30,2018-01-04,86
105,Brooklyn,Apartment,Entire home/apt,8,1,3,5,Real Bed,180,30,100,146,35,2017-11-05,81
106,Manhattan,Apartment,Shared room,1,1,1,1,Couch,75,1,28,362,0,,0
107,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,65,2,28,365,19,2018-01-04,94
108,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,105,2,365,362,63,2017-12-10,97
109,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,170,5,30,277,17,2016-01-02,96
110,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,240,1,30,359,106,2018-02-17,86
111,Queens,Apartment,Private room,2,1,1,1,Real Bed,90,7,365,232,13,2018-01-15,98
112,Queens,Apartment,Private room,2,1,1,1,Real Bed,70,7,365,275,24,2018-01-15,100
113,Brooklyn,Apartment,Private room,2,2.5,1,1,Real Bed,85,3,30,88,120,2018-02-01,97
114,Manhattan,Loft,Private room,3,2.5,1,1,Pull-out Sofa,119,3,1125,256,132,2017-10-29,99
115,Brooklyn,Apartment,Private room,4,1,1,2,Real Bed,129,3,90,230,55,2016-04-12,88
116,Manhattan,Apartment,Entire home/apt,4,1,2,2,Real Bed,120,31,365,261,49,2017-12-31,94
117,Manhattan,Apartment,Entire home/apt,4,1,2,3,Real Bed,285,5,1125,249,61,2017-12-02,87
118,Brooklyn,Apartment,Entire home/apt,6,1,1,3,Real Bed,140,7,60,91,9,2013-07-18,93
119,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,3,90,229,54,2017-10-22,92
120,Manhattan,Apartment,Private room,1,0,1,1,Real Bed,60,4,14,54,156,2018-02-15,92
121,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,50,1,730,0,2,2016-02-14,60
122,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,70,3,29,177,33,2016-09-30,96
123,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,84,3,60,265,150,2017-12-29,94
124,Brooklyn,Apartment,Private room,1,0,1,1,Real Bed,60,5,100,365,19,2017-10-08,89
125,Brooklyn,Townhouse,Entire home/apt,4,1,1,2,Real Bed,131,3,29,93,107,2018-02-27,98
126,Brooklyn,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,250,14,90,0,15,2018-01-28,100
127,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,105,3,100,28,83,2018-01-02,91
128,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,140,4,365,117,60,2018-02-28,95
129,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,89,1,60,365,0,,0
130,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,111,30,1200,284,24,2017-08-12,99
131,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,7,730,179,0,,0
132,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,185,7,21,61,16,2016-05-02,97
133,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,175,3,730,349,194,2017-12-27,93
134,Manhattan,Apartment,Private room,2,0,1,1,Real Bed,65,2,20,0,68,2012-11-01,94
135,Manhattan,House,Entire home/apt,7,2,2,5,Real Bed,240,4,365,172,188,2018-01-03,94
136,Manhattan,House,Entire home/apt,5,2,3,3,Real Bed,400,2,60,225,30,2018-02-04,87
137,Brooklyn,Apartment,Private room,2,2,1,1,Real Bed,101,3,20,333,289,2018-02-19,95
138,Brooklyn,Apartment,Entire home/apt,3,1,2,2,Real Bed,150,2,30,177,24,2017-10-22,95
139,Brooklyn,Apartment,Private room,3,1,1,2,Real Bed,100,2,30,184,38,2018-01-15,97
140,Brooklyn,Apartment,Entire home/apt,6,2,3,4,Real Bed,200,2,35,183,47,2017-12-24,94
141,Brooklyn,Apartment,Private room,3,1,1,2,Real Bed,100,2,30,200,61,2017-12-24,95
142,Brooklyn,Apartment,Entire home/apt,9,3,4,6,Real Bed,250,2,30,176,70,2018-01-07,96
143,Bronx,House,Private room,3,1,1,2,Real Bed,150,2,730,365,0,,0
144,Brooklyn,Apartment,Entire home/apt,7,1,2,4,Real Bed,125,30,1125,292,147,2018-02-28,93
145,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,139,5,35,62,28,2017-10-21,92
146,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,69,2,14,361,147,2018-01-29,95
147,Brooklyn,House,Entire home/apt,5,1.5,3,3,Real Bed,200,30,62,65,19,2017-03-17,98
148,Manhattan,Apartment,Private room,1,0.5,1,1,Real Bed,59,3,25,290,274,2018-01-30,92
149,Brooklyn,Townhouse,Private room,3,1,1,2,Real Bed,125,2,365,336,11,2016-09-23,92
150,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,5,14,0,16,2018-01-03,98
151,Manhattan,Apartment,Entire home/apt,1,1,1,1,Futon,140,7,14,173,12,2017-12-11,97
152,Brooklyn,Apartment,Entire home/apt,4,1,1,1,Real Bed,135,2,365,228,409,2018-02-24,98
153,Brooklyn,Loft,Private room,2,1,1,1,Real Bed,90,4,365,84,5,2014-05-02,96
154,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,199,5,45,365,38,2015-12-02,98
