neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability
Brooklyn,Bedford-Stuyvesant,40.68245334,-73.94709728,Apartment,Entire home/apt,8,2,3,4,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.68180523,-73.94213715,Townhouse,Entire home/apt,4,1,1,1,Real Bed,250,124
Brooklyn,Bedford-Stuyvesant,40.68009556,-73.94195807,Apartment,Entire home/apt,6,2,3,4,Real Bed,250,275
Brooklyn,Bedford-Stuyvesant,40.68385737,-73.95124187,Apartment,Entire home/apt,6,2,2,3,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.68962562,-73.95316487,Apartment,Entire home/apt,3,1,1,2,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.6851885,-73.928685,Apartment,Private room,1,1,1,1,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.68561957,-73.9404163,Apartment,Entire home/apt,5,1,3,4,Real Bed,250,169
Brooklyn,Bedford-Stuyvesant,40.69724979,-73.94908395,Apartment,Entire home/apt,10,1,3,6,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.68233549,-73.95402388,Bungalow,Entire home/apt,2,1,2,2,Real Bed,250,87
Brooklyn,Bedford-Stuyvesant,40.69626054,-73.95210331,Apartment,Entire home/apt,8,4,4,7,Real Bed,250,103
Brooklyn,Bedford-Stuyvesant,40.68067818,-73.92873977,Apartment,Entire home/apt,6,2,2,2,Real Bed,250,327
Brooklyn,Bedford-Stuyvesant,40.68474444,-73.91825032,House,Entire home/apt,8,2.5,3,6,Real Bed,250,359
Brooklyn,Bedford-Stuyvesant,40.68908469,-73.92893181,House,Private room,2,1,1,1,Real Bed,250,365
Brooklyn,Bedford-Stuyvesant,40.68437633,-73.92621727,Townhouse,Entire home/apt,5,2.5,3,4,Real Bed,249,43
Brooklyn,Bedford-Stuyvesant,40.6821176,-73.91904469,Townhouse,Entire home/apt,6,2,4,4,Real Bed,249,5
Brooklyn,Bedford-Stuyvesant,40.68746367,-73.95811232,Apartment,Entire home/apt,4,2,2,2,Real Bed,245,0
Brooklyn,Bedford-Stuyvesant,40.68915668,-73.95765029,Townhouse,Entire home/apt,9,2,3,5,Real Bed,241,166
Brooklyn,Bedford-Stuyvesant,40.6845061,-73.93710353,Apartment,Private room,2,1.5,1,1,Real Bed,240,365
Brooklyn,Bedford-Stuyvesant,40.69330044,-73.94024991,Townhouse,Entire home/apt,6,2,3,3,Real Bed,233,2
Brooklyn,Bedford-Stuyvesant,40.68497781,-73.93191887,Apartment,Entire home/apt,5,2,3,4,Real Bed,230,88
Brooklyn,Bedford-Stuyvesant,40.678487,-73.91671553,Apartment,Entire home/apt,8,2,3,6,Real Bed,229,295
Brooklyn,Bedford-Stuyvesant,40.68612143,-73.95927196,Other,Entire home/apt,4,1,2,3,Real Bed,225,125
Brooklyn,Bedford-Stuyvesant,40.68363578,-73.94292331,House,Private room,8,1.5,3,3,Real Bed,225,356
Brooklyn,Bedford-Stuyvesant,40.6831225,-73.92506855,House,Entire home/apt,8,1,3,5,Real Bed,225,287
Brooklyn,Bedford-Stuyvesant,40.69376049,-73.93775736,Townhouse,Entire home/apt,10,2,3,5,Real Bed,225,231
Brooklyn,Bedford-Stuyvesant,40.6856702,-73.93508982,Apartment,Entire home/apt,8,2,5,5,Real Bed,225,59
Brooklyn,Bedford-Stuyvesant,40.68511864,-73.93606918,Apartment,Private room,4,2,1,2,Real Bed,225,365
Brooklyn,Bedford-Stuyvesant,40.67964492,-73.94986805,Apartment,Entire home/apt,8,1,4,4,Real Bed,225,56
Brooklyn,Bedford-Stuyvesant,40.6835053,-73.94296296,Townhouse,Entire home/apt,3,1.5,1,2,Real Bed,225,166
Brooklyn,Bedford-Stuyvesant,40.6835188,-73.92119432,Townhouse,Entire home/apt,8,2.5,3,4,Real Bed,225,5
Brooklyn,Bedford-Stuyvesant,40.68285273,-73.93862336,Townhouse,Entire home/apt,4,1.5,2,3,Real Bed,225,5
Brooklyn,Bedford-Stuyvesant,40.68320485,-73.95290234,Apartment,Entire home/apt,6,2,2,3,Real Bed,225,136
Brooklyn,Bedford-Stuyvesant,40.68416031,-73.94249485,Apartment,Entire home/apt,6,1,2,3,Real Bed,222,0
Brooklyn,Bedford-Stuyvesant,40.68970342,-73.95100551,Apartment,Entire home/apt,7,1,3,4,Real Bed,220,340
Brooklyn,Bedford-Stuyvesant,40.68812177,-73.94626506,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,220,185
Brooklyn,Bedford-Stuyvesant,40.68210653,-73.92973328,Townhouse,Entire home/apt,7,2.5,3,3,Real Bed,220,0
Brooklyn,Bedford-Stuyvesant,40.67881535,-73.92649329,Apartment,Entire home/apt,7,2,3,4,Real Bed,220,224
Brooklyn,Bedford-Stuyvesant,40.69218231,-73.93574461,Apartment,Entire home/apt,5,2,3,3,Real Bed,220,0
Brooklyn,Bedford-Stuyvesant,40.6901312,-73.92804624,House,Entire home/apt,6,1,2,3,Real Bed,215,330
Brooklyn,Bedford-Stuyvesant,40.68788846,-73.9575017,Apartment,Private room,2,1,1,1,Real Bed,215,0
Brooklyn,Bedford-Stuyvesant,40.68682967,-73.95466339,Apartment,Entire home/apt,7,1,2,4,Real Bed,215,0
Brooklyn,Bedford-Stuyvesant,40.68345169,-73.9191972,Apartment,Entire home/apt,4,1,2,2,Real Bed,215,0
Brooklyn,Bedford-Stuyvesant,40.68509759,-73.95655371,Townhouse,Entire home/apt,8,2.5,3,2,Real Bed,215,57
Brooklyn,Bedford-Stuyvesant,40.68514929,-73.95712987,Apartment,Entire home/apt,4,2,2,2,Real Bed,214,78
Brooklyn,Bedford-Stuyvesant,40.68043128,-73.93705133,House,Entire home/apt,6,2.5,2,3,Real Bed,210,79
Brooklyn,Bedford-Stuyvesant,40.68316416,-73.94106759,House,Entire home/apt,5,1.5,2,2,Real Bed,205,350
Brooklyn,Bedford-Stuyvesant,40.68904006,-73.9478999,Townhouse,Entire home/apt,6,2.5,2,3,Real Bed,204,29
Brooklyn,Bedford-Stuyvesant,40.68272478,-73.91483566,Apartment,Entire home/apt,4,1,2,2,Real Bed,203,89
Brooklyn,Bedford-Stuyvesant,40.68816602,-73.95478775,Apartment,Private room,2,2,1,1,Real Bed,200,364
Brooklyn,Bedford-Stuyvesant,40.68066557,-73.94090912,Apartment,Entire home/apt,7,1,3,3,Real Bed,200,58
Brooklyn,Bedford-Stuyvesant,40.68592455,-73.95502374,Apartment,Entire home/apt,4,2,2,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68241584,-73.95015945,Apartment,Private room,2,1,1,1,Real Bed,200,180
Brooklyn,Bedford-Stuyvesant,40.69435767,-73.95511684,Loft,Private room,4,1,1,1,Real Bed,200,336
Brooklyn,Bedford-Stuyvesant,40.68206888,-73.94993797,Loft,Entire home/apt,3,1,1,1,Real Bed,200,296
Brooklyn,Bedford-Stuyvesant,40.67752463,-73.91489465,Apartment,Entire home/apt,10,1,3,5,Real Bed,200,346
Brooklyn,Bedford-Stuyvesant,40.68178488,-73.9417851,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.6892022,-73.95352045,House,Private room,2,2,1,1,Real Bed,200,364
Brooklyn,Bedford-Stuyvesant,40.6835647,-73.93524634,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,88
Brooklyn,Bedford-Stuyvesant,40.68605727,-73.93298764,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,328
Brooklyn,Bedford-Stuyvesant,40.68774227,-73.95476672,Loft,Entire home/apt,16,1,1,1,Real Bed,200,365
Brooklyn,Bedford-Stuyvesant,40.68786132,-73.95211426,Townhouse,Entire home/apt,4,3,3,3,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.69476881,-73.94422799,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.6832155,-73.9170239,Apartment,Shared room,2,1.5,1,1,Real Bed,200,179
Brooklyn,Bedford-Stuyvesant,40.68740625,-73.95581921,Apartment,Entire home/apt,4,1,1,3,Real Bed,200,81
Brooklyn,Bedford-Stuyvesant,40.69829546,-73.93771037,Apartment,Entire home/apt,8,1,3,4,Real Bed,200,255
Brooklyn,Bedford-Stuyvesant,40.67878338,-73.94866811,Apartment,Entire home/apt,4,1,1,1,Real Bed,200,178
Brooklyn,Bedford-Stuyvesant,40.69258446,-73.94062513,Apartment,Entire home/apt,5,1,2,2,Real Bed,200,10
Brooklyn,Bedford-Stuyvesant,40.68363038,-73.93556169,Townhouse,Entire home/apt,7,1,3,4,Real Bed,200,365
Brooklyn,Bedford-Stuyvesant,40.69110214,-73.93135657,House,Entire home/apt,6,1,2,4,Real Bed,200,41
Brooklyn,Bedford-Stuyvesant,40.69082441,-73.95591442,Apartment,Private room,1,1,1,1,Real Bed,200,178
Brooklyn,Bedford-Stuyvesant,40.68225622,-73.95473258,Apartment,Entire home/apt,2,1,2,2,Real Bed,200,300
Brooklyn,Bedford-Stuyvesant,40.68818206,-73.95899926,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68445606,-73.95467807,Apartment,Entire home/apt,4,2,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68802065,-73.95340106,Apartment,Private room,2,2,1,1,Real Bed,200,364
Brooklyn,Bedford-Stuyvesant,40.68931611,-73.94098278,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,100
Brooklyn,Bedford-Stuyvesant,40.68018753,-73.91102174,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,200,76
Brooklyn,Bedford-Stuyvesant,40.69178885,-73.95914771,Apartment,Entire home/apt,5,1,2,3,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.67920375,-73.93070829,Apartment,Entire home/apt,8,1,3,8,Real Bed,200,142
Brooklyn,Bedford-Stuyvesant,40.69249617,-73.94497898,Apartment,Private room,2,1,1,1,Real Bed,200,365
Brooklyn,Bedford-Stuyvesant,40.6946503,-73.95457609,Apartment,Entire home/apt,6,1,2,4,Real Bed,200,78
Brooklyn,Bedford-Stuyvesant,40.69407287,-73.94551438,Apartment,Shared room,1,1,1,1,Real Bed,200,365
Brooklyn,Bedford-Stuyvesant,40.68390841,-73.95782912,Apartment,Entire home/apt,6,2,3,3,Real Bed,200,74
Brooklyn,Bedford-Stuyvesant,40.68858141,-73.95224718,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68734394,-73.95929793,House,Entire home/apt,4,2,2,2,Real Bed,200,36
Brooklyn,Bedford-Stuyvesant,40.69503687,-73.95562301,Loft,Entire home/apt,8,1,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68785028,-73.92970862,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,363
Brooklyn,Bedford-Stuyvesant,40.68906358,-73.95151693,Apartment,Entire home/apt,3,1,2,2,Futon,200,363
Brooklyn,Bedford-Stuyvesant,40.69179923,-73.95151288,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68448853,-73.93240452,House,Entire home/apt,8,2,3,3,Real Bed,200,28
Brooklyn,Bedford-Stuyvesant,40.6838022,-73.94584928,Apartment,Private room,1,1,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68865399,-73.95274856,Apartment,Entire home/apt,6,1,2,3,Real Bed,200,62
Brooklyn,Bedford-Stuyvesant,40.68960349,-73.92660105,Apartment,Private room,4,1,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68608895,-73.94331896,Apartment,Entire home/apt,6,1,4,4,Real Bed,200,62
Brooklyn,Bedford-Stuyvesant,40.6863091,-73.92629016,Apartment,Private room,2,1,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68270168,-73.93119477,Apartment,Entire home/apt,6,1,3,3,Real Bed,200,346
Brooklyn,Bedford-Stuyvesant,40.68418344,-73.94221064,House,Entire home/apt,7,1.5,3,4,Real Bed,200,63
Brooklyn,Bedford-Stuyvesant,40.68340236,-73.9416199,Apartment,Entire home/apt,5,1,2,2,Real Bed,200,50
Brooklyn,Bedford-Stuyvesant,40.6825145,-73.91943521,Apartment,Entire home/apt,10,2,3,3,Real Bed,200,360
Brooklyn,Bedford-Stuyvesant,40.68392892,-73.92302628,House,Entire home/apt,6,2,3,3,Real Bed,200,362
Brooklyn,Bedford-Stuyvesant,40.68412384,-73.95039402,Apartment,Entire home/apt,6,1.5,2,4,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68805525,-73.95491324,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68776678,-73.94793185,House,Entire home/apt,2,1,1,1,Real Bed,200,365
Brooklyn,Bedford-Stuyvesant,40.69277402,-73.9518439,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,0
Brooklyn,Bedford-Stuyvesant,40.68392215,-73.93123067,Apartment,Entire home/apt,5,2,2,3,Real Bed,200,9
