,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
3088,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,135
3123,Manhattan,Apartment,Private room,1,1,1,2,Real Bed,100
3126,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,58
3128,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
3149,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,92
3150,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,110
3223,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
3237,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
3251,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
3252,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
3331,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,54
3341,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
3343,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,72
3374,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
3406,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,149
3472,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,49
3485,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
3649,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
3687,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
3697,Manhattan,House,Private room,1,1,1,1,Real Bed,101
3726,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,220
3741,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
3772,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
3785,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
3809,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
3865,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,143
3959,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,215
3989,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,81
4022,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
4060,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,99
