neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Brooklyn,Bedford-Stuyvesant,40.6864862,-73.94418231,Apartment,Private room,1,1,1,1,Real Bed,55,365,1.100545664
Brooklyn,Bedford-Stuyvesant,40.69165949,-73.93041351,Apartment,Private room,1,1,1,1,Real Bed,55,364,2.152031209
Brooklyn,Bedford-Stuyvesant,40.68648575,-73.92255487,Apartment,Private room,1,1,1,1,Real Bed,55,33,2.853785977
Brooklyn,Bedford-Stuyvesant,40.7001984,-73.94327106,Apartment,Private room,1,1,1,1,Real Bed,55,61,1.490855278
Brooklyn,Bedford-Stuyvesant,40.67938038,-73.9175931,Apartment,Private room,1,1,1,1,Real Bed,55,49,3.472778308
Brooklyn,Bedford-Stuyvesant,40.68978548,-73.94298873,Apartment,Private room,1,1,1,1,Real Bed,54,365,1.095909084
Brooklyn,Bedford-Stuyvesant,40.69632454,-73.94233277,Apartment,Private room,1,1,1,1,Real Bed,53,362,1.298146492
Brooklyn,Bedford-Stuyvesant,40.69422361,-73.93251387,Apartment,Private room,1,1,1,1,Real Bed,53,50,2.008784235
Brooklyn,Bedford-Stuyvesant,40.68640742,-73.94734753,Apartment,Private room,1,1,1,1,Real Bed,52,357,0.873480842
Brooklyn,Bedford-Stuyvesant,40.69052423,-73.95294288,Apartment,Private room,1,1,1,1,Real Bed,52,179,0.252751605
Brooklyn,Bedford-Stuyvesant,40.69367017,-73.94709269,Apartment,Private room,1,1,1,1,Real Bed,51,356,0.808279746
Brooklyn,Bedford-Stuyvesant,40.68110365,-73.91949278,Apartment,Private room,1,1,1,1,Real Bed,51,25,3.255684889
Brooklyn,Bedford-Stuyvesant,40.69014059,-73.95326979,Apartment,Private room,1,1,1,1,Real Bed,50,365,0.235584309
Brooklyn,Bedford-Stuyvesant,40.69369092,-73.94213913,Apartment,Private room,1,1,1,1,Real Bed,50,90,1.204346034
Brooklyn,Bedford-Stuyvesant,40.68695237,-73.92752639,Apartment,Private room,1,1,1,1,Real Bed,50,339,2.431945482
Brooklyn,Bedford-Stuyvesant,40.69084541,-73.94296162,Apartment,Private room,1,1,1,1,Real Bed,50,89,1.092082721
Brooklyn,Bedford-Stuyvesant,40.69732996,-73.94789363,Apartment,Private room,1,1,1,1,Real Bed,50,89,0.990230161
Brooklyn,Bedford-Stuyvesant,40.68689936,-73.9234352,Apartment,Private room,1,1,1,1,Real Bed,50,365,2.773039689
Brooklyn,Bedford-Stuyvesant,40.69545289,-73.94828781,Apartment,Private room,1,1,1,1,Real Bed,50,62,0.823602291
Brooklyn,Bedford-Stuyvesant,40.68567729,-73.95165794,Apartment,Private room,1,1,1,1,Real Bed,50,13,0.675548681
Brooklyn,Bedford-Stuyvesant,40.69224614,-73.94858571,Apartment,Private room,1,1,1,1,Real Bed,50,90,0.63779696
Brooklyn,Bedford-Stuyvesant,40.69436729,-73.95841444,Apartment,Private room,1,1,1,1,Real Bed,50,47,0.446792685
Brooklyn,Bedford-Stuyvesant,40.68238984,-73.93808205,Apartment,Private room,1,1,1,1,Real Bed,50,363,1.772112954
Brooklyn,Bedford-Stuyvesant,40.68928228,-73.93965727,Apartment,Private room,1,1,1,1,Real Bed,50,84,1.381378062
Brooklyn,Bedford-Stuyvesant,40.69404475,-73.94122967,Apartment,Private room,1,1,1,1,Real Bed,50,88,1.288819356
Brooklyn,Bedford-Stuyvesant,40.68328446,-73.93666498,Apartment,Private room,1,1,1,1,Real Bed,50,11,1.82680972
Brooklyn,Bedford-Stuyvesant,40.68918991,-73.95398899,Apartment,Private room,1,1,1,1,Real Bed,50,338,0.243693381
Brooklyn,Bedford-Stuyvesant,40.68974618,-73.93119735,Apartment,Private room,1,1,1,1,Real Bed,50,179,2.087415923
Brooklyn,Bedford-Stuyvesant,40.68702548,-73.95357762,Apartment,Private room,1,1,1,1,Real Bed,50,4,0.46611116
Brooklyn,Bedford-Stuyvesant,40.68861427,-73.95214045,Apartment,Private room,1,1,1,1,Real Bed,50,67,0.40205194
Brooklyn,Bedford-Stuyvesant,40.69128507,-73.93988344,Apartment,Private room,1,1,1,1,Real Bed,50,365,1.352574441
Brooklyn,Bedford-Stuyvesant,40.68761539,-73.9420931,Apartment,Private room,1,1,1,1,Real Bed,50,43,1.218741916
Brooklyn,Bedford-Stuyvesant,40.69517083,-73.94013384,Apartment,Private room,1,1,1,1,Real Bed,50,291,1.415516036
Brooklyn,Bedford-Stuyvesant,40.68492397,-73.95118659,Apartment,Private room,1,1,1,1,Real Bed,50,35,0.767706495
Brooklyn,Bedford-Stuyvesant,40.69285216,-73.92849303,Apartment,Private room,1,1,1,1,Real Bed,50,308,2.322894328
Brooklyn,Bedford-Stuyvesant,40.69133767,-73.9555065,Apartment,Private room,1,1,1,1,Real Bed,50,9,0.066633759
Brooklyn,Bedford-Stuyvesant,40.67908214,-73.90987511,Apartment,Private room,1,1,1,1,Real Bed,50,358,4.095717114
Brooklyn,Bedford-Stuyvesant,40.68609151,-73.94741929,Apartment,Private room,1,1,1,1,Real Bed,49,364,0.888823204
Brooklyn,Bedford-Stuyvesant,40.69810689,-73.93930278,Apartment,Private room,1,1,1,1,Real Bed,49,77,1.617746871
Brooklyn,Bedford-Stuyvesant,40.68548708,-73.94724237,Apartment,Private room,1,1,1,1,Real Bed,49,266,0.941733389
Brooklyn,Bedford-Stuyvesant,40.68434776,-73.95158744,Apartment,Private room,1,1,1,1,Real Bed,49,323,0.807310707
Brooklyn,Bedford-Stuyvesant,40.69980613,-73.94110897,Apartment,Private room,1,1,1,1,Real Bed,48,33,1.598574956
Brooklyn,Bedford-Stuyvesant,40.69561899,-73.9510679,Apartment,Private room,1,1,1,1,Real Bed,47,62,0.67170685
Brooklyn,Bedford-Stuyvesant,40.68388466,-73.94175853,Apartment,Private room,1,1,1,1,Real Bed,47,89,1.421300426
Brooklyn,Bedford-Stuyvesant,40.69362527,-73.94086185,Apartment,Private room,1,1,1,1,Real Bed,47,89,1.306746194
Brooklyn,Bedford-Stuyvesant,40.68381073,-73.92148917,Apartment,Private room,1,1,1,1,Real Bed,46,88,3.005570245
Brooklyn,Bedford-Stuyvesant,40.69081663,-73.93155164,Apartment,Private room,1,1,1,1,Real Bed,45,180,2.054082383
Brooklyn,Bedford-Stuyvesant,40.68154922,-73.9363938,Apartment,Private room,1,1,1,1,Real Bed,45,4,1.942374691
Brooklyn,Bedford-Stuyvesant,40.68088725,-73.92629528,Apartment,Private room,1,1,1,1,Real Bed,45,84,2.730964566
Brooklyn,Bedford-Stuyvesant,40.68905138,-73.92684616,Apartment,Private room,1,1,1,1,Real Bed,45,364,2.458761443
Brooklyn,Bedford-Stuyvesant,40.67966068,-73.9282976,Apartment,Private room,1,1,1,1,Real Bed,45,90,2.638840742
Brooklyn,Bedford-Stuyvesant,40.69141005,-73.9395179,Apartment,Private room,1,1,1,1,Real Bed,45,179,1.383955204
Brooklyn,Bedford-Stuyvesant,40.68402557,-73.94978687,Apartment,Private room,1,1,1,1,Real Bed,45,233,0.915675867
Brooklyn,Bedford-Stuyvesant,40.6832479,-73.94975213,Apartment,Private room,1,1,1,1,Real Bed,45,278,0.989810506
Brooklyn,Bedford-Stuyvesant,40.69028116,-73.95097596,Apartment,Private room,1,1,1,1,Real Bed,45,89,0.420733641
Brooklyn,Bedford-Stuyvesant,40.68544771,-73.95883103,Apartment,Private room,1,1,1,1,Real Bed,45,25,0.646462203
Brooklyn,Bedford-Stuyvesant,40.68639978,-73.9576562,Apartment,Private room,1,1,1,1,Real Bed,45,212,0.513447025
Brooklyn,Bedford-Stuyvesant,40.69637277,-73.93995421,Apartment,Private room,1,1,1,1,Real Bed,44,52,1.480279851
Brooklyn,Bedford-Stuyvesant,40.68595996,-73.92185441,Apartment,Private room,1,1,1,1,Real Bed,43,284,2.922278373
Brooklyn,Bedford-Stuyvesant,40.69562831,-73.95148692,Apartment,Private room,1,1,1,1,Real Bed,43,316,0.651670365
Brooklyn,Bedford-Stuyvesant,40.68862346,-73.94424381,Apartment,Private room,1,1,1,1,Real Bed,43,56,1.013970281
Brooklyn,Bedford-Stuyvesant,40.69428009,-73.94148327,Apartment,Private room,1,1,1,1,Real Bed,42,54,1.275927299
Brooklyn,Bedford-Stuyvesant,40.68261442,-73.94777837,Apartment,Private room,1,1,1,1,Real Bed,42,2,1.141934706
Brooklyn,Bedford-Stuyvesant,40.67900898,-73.94107493,Apartment,Private room,1,1,1,1,Real Bed,42,176,1.814323555
Brooklyn,Bedford-Stuyvesant,40.68601533,-73.95333323,Apartment,Private room,1,1,1,1,Real Bed,40,1,0.577336181
Brooklyn,Bedford-Stuyvesant,40.68603817,-73.92445915,Apartment,Private room,1,1,1,1,Real Bed,40,310,2.705032962
Brooklyn,Bedford-Stuyvesant,40.69127439,-73.93982531,Apartment,Private room,1,1,1,1,Real Bed,40,352,1.357427815
Brooklyn,Bedford-Stuyvesant,40.68011162,-73.94578673,Apartment,Private room,1,1,1,1,Real Bed,40,277,1.465680614
Brooklyn,Bedford-Stuyvesant,40.68201329,-73.93802101,Apartment,Private room,1,1,1,1,Real Bed,40,197,1.798942181
Brooklyn,Bedford-Stuyvesant,40.68990107,-73.93633911,Apartment,Private room,1,1,1,1,Real Bed,39,365,1.653641267
Brooklyn,Bedford-Stuyvesant,40.69898015,-73.93938712,Apartment,Private room,1,1,1,1,Real Bed,38,18,1.662499364
Brooklyn,Bedford-Stuyvesant,40.68567869,-73.95237103,Apartment,Private room,1,1,1,1,Real Bed,38,307,0.64548191
Brooklyn,Bedford-Stuyvesant,40.69092883,-73.92587924,Apartment,Private room,1,1,1,1,Real Bed,38,81,2.532359816
Brooklyn,Bedford-Stuyvesant,40.68163174,-73.95557976,Apartment,Private room,1,1,1,1,Real Bed,37,90,1.02256768
Brooklyn,Bedford-Stuyvesant,40.68196043,-73.94175064,Apartment,Private room,1,1,1,1,Real Bed,37,215,1.548458411
Brooklyn,Bedford-Stuyvesant,40.68374047,-73.9269761,Apartment,Private room,1,1,1,1,Real Bed,36,25,2.563981369
Brooklyn,Bedford-Stuyvesant,40.69137215,-73.95849991,Apartment,Private room,1,1,1,1,Real Bed,35,64,0.226336422
Brooklyn,Bedford-Stuyvesant,40.6925139,-73.93010387,Apartment,Private room,1,1,1,1,Real Bed,35,247,2.184213284
Brooklyn,Bedford-Stuyvesant,40.68713126,-73.93659066,Apartment,Private room,1,1,1,1,Real Bed,35,95,1.680232442
Brooklyn,Bedford-Stuyvesant,40.69422079,-73.93288096,Apartment,Private room,1,1,1,1,Real Bed,35,24,1.978336357
Brooklyn,Bedford-Stuyvesant,40.69414147,-73.93705335,Apartment,Private room,1,1,1,1,Real Bed,35,71,1.632396293
Brooklyn,Bedford-Stuyvesant,40.69255591,-73.96057515,Apartment,Private room,1,1,1,1,Real Bed,35,3,0.43758479
Brooklyn,Bedford-Stuyvesant,40.69722219,-73.93863817,Apartment,Private room,1,1,1,1,Real Bed,34,26,1.620978715
Brooklyn,Bedford-Stuyvesant,40.69617884,-73.94354581,Apartment,Private room,1,1,1,1,Real Bed,33,3,1.200784118
Brooklyn,Bedford-Stuyvesant,40.69040715,-73.96026036,Apartment,Private room,1,1,1,1,Real Bed,32,13,0.369343175
Brooklyn,Bedford-Stuyvesant,40.69454853,-73.93445244,Apartment,Private room,1,1,1,1,Real Bed,31,86,1.856238442
Brooklyn,Bedford-Stuyvesant,40.6867752,-73.95014512,Apartment,Private room,1,1,1,1,Real Bed,30,3,0.662833451
Brooklyn,Bedford-Stuyvesant,40.68554109,-73.94478442,Apartment,Private room,1,1,1,1,Real Bed,30,207,1.10715292
Brooklyn,Bedford-Stuyvesant,40.69873206,-73.93936755,Apartment,Private room,1,1,1,1,Real Bed,30,65,1.649011237
Brooklyn,Bedford-Stuyvesant,40.68081509,-73.92161942,Apartment,Private room,1,1,1,1,Real Bed,29,27,3.098501178
Brooklyn,Bedford-Stuyvesant,40.68529793,-73.93405581,Apartment,Private room,1,1,1,1,Real Bed,29,70,1.942775337
Brooklyn,Bedford-Stuyvesant,40.68049429,-73.91214108,Apartment,Private room,1,1,1,1,Real Bed,29,358,3.86552478
Brooklyn,Bedford-Stuyvesant,40.69952638,-73.94108446,Apartment,Private room,1,1,1,1,Real Bed,29,14,1.580963239
Brooklyn,Bedford-Stuyvesant,40.68726917,-73.9229653,Apartment,Private room,1,1,1,1,Real Bed,28,330,2.806076829
Brooklyn,Bedford-Stuyvesant,40.68872194,-73.94049733,Apartment,Private room,1,1,1,1,Real Bed,27,93,1.320726779
Brooklyn,Bedford-Stuyvesant,40.68037377,-73.9115219,Apartment,Private room,1,1,1,1,Real Bed,25,103,3.919361434
Brooklyn,Bedford-Stuyvesant,40.68469906,-73.92903622,Apartment,Private room,1,1,1,1,Real Bed,25,123,2.366405373
,,,,,,,,,,,26.6041099,,
,,,,,,,,,,Range,175,,
