,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
3523,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
3543,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
3588,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,80
3622,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
3647,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
3703,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,150
3708,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,42
3763,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,85
3770,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,110
3808,Brooklyn,House,Private room,1,1.0,1,1,Airbed,149
3844,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
3857,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,47
3870,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,69
3875,Brooklyn,Bed and breakfast,Private room,1,1.0,1,1,Real Bed,44
3876,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
3890,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
3927,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,58
4042,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,42
4081,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,70
4197,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,700
4259,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,58
4261,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
4274,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,95
4335,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,29
4341,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,28
4368,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
4376,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
4430,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,54
4449,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
4474,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
4476,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
4477,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,56
4491,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
4517,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,56
4551,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,25
4679,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
4702,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,145
4723,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
4724,Brooklyn,Apartment,Private room,1,1.0,1,1,Pull-out Sofa,48
4751,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
4871,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
4884,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
4896,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,75
4907,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
4925,Brooklyn,Apartment,Private room,1,1.0,1,1,Pull-out Sofa,59
4942,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,120
5022,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,18
5043,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,55
5060,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
5110,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,37
5119,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,85
5155,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,30
5161,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
5162,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
5191,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
5192,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
5205,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,40
5214,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
5231,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,29
5246,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
5247,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,79
5270,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,48
5305,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
5307,Brooklyn,Apartment,Private room,1,1.0,1,1,Pull-out Sofa,49
5318,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,60
5333,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,45
5367,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
5379,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,65
5480,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
5505,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,84
5518,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
5550,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
5555,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
5572,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
5589,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,30
